Date,Open,High,Low,Close,Volume,Market Cap
Nov-10-2021,88.29869059955504,94.0333,79.9364,85.34333081062412,1492854953.7777777,19851280435.10884
Nov-09-2021,91.26174701134396,91.4265660561609,87.21031866903846,88.4568,2018680035.456446,19660222271.376316
Nov-08-2021,87.71912319276564,96.64327333404106,83.90072635129974,91.2406343381828,2851810103.4965034,20197197612.72534
Nov-07-2021,78.66330813134651,88.75490241424497,78.35486205961016,87.98976337652005,1609199994.2222223,18625273972.064682
Nov-06-2021,74.26287083953895,78.50683350218293,72.5684,78.17061661500952,727908376.6666666,16592478874.729012
Nov-05-2021,79.21044078883945,80.97039400052441,72.95156095104444,74.34556165967834,1295774843.7777777,16888812995.029127
Nov-04-2021,75.57156181154642,81.0651923915149,74.41552058238454,79.61599597365237,2046183782.6666667,17092879818.608572
Nov-03-2021,67.69111088850235,75.51919793110775,67.2376233198487,75.51919793110775,1218221872.6666667,15808409587.899313
Nov-02-2021,65.05554640814097,68.12217571543528,64.41533309509965,67.69611054368342,741825674.9268292,14540802166.051168
Nov-01-2021,64.29741046975404,66.3405,62.68538662885483,64.90321225912413,684309878,14150882696.784538
Oct-31-2021,62.42887149363291,64.36965324880799,60.5277268750115,64.30482323012393,529214284.3333333,13815137074.06598
Oct-30-2021,64.8222420362732,64.8222420362732,61.14826285180616,62.33933235191154,513281368.1111111,13888959689.306702
Oct-29-2021,64.3226925997961,66.18684810093342,63.67895341378289,64.7593945490612,773827130.2222222,14298643822.455793
Oct-28-2021,61.6198,64.7054,61.6198,64.16235138424321,1128848855.1111112,13942784515.63761
Oct-27-2021,68.8385,69.3722,58.61398682932258,61.9703,1491967384.8888888,14185479142.859486
Oct-26-2021,69.7795762341662,72.8532350338441,68.0438,69.1834,1406744738.6666667,15559066126.520882
Oct-25-2021,64.54211936438654,69.72794780585686,64.54211936438654,69.67179690243185,864007869.3333334,14665418258.76078
Oct-24-2021,65.4527,67.567,62.06022524938528,64.44404202862106,885757545.1111112,14356203366.217733
Oct-23-2021,65.48190421088071,68.89560601813345,64.73330181865708,65.488,1801095995.5555556,14558155555.709179
Oct-22-2021,61.3599764674507,68.6130851577024,61.3599764674507,65.4507607210792,1798273988.8888888,14368641793.505716
Oct-21-2021,59.60641165918896,64.2695,58.95814999018943,61.24851069355849,1413902168.6666667,13506319579.159527
Oct-20-2021,56.89,61.35527018802264,56.7743,59.66942835837045,722645389.5555556,12826780089.524292
Oct-19-2021,55.5487,57.8735,55.2168,57.0322,560155833.6901408,12396197560.225632
Oct-18-2021,56.05595599430865,56.40742904478471,54.449,55.4658,652888215.6083916,12202251761.467026
Oct-17-2021,57.550297047316654,58.444924483149386,54.19837677405759,56.25162384374574,1031035696.5124555,12597185665.822142
Oct-16-2021,56.30621607706125,62.03,55.8728,57.614341595259496,1053283618.1333333,12817190331.33723
Oct-15-2021,56.085420134629054,57.1164087741809,54.770320907244994,56.276462137104936,919789593.8675958,12274633313.145374
Oct-14-2021,55.1586,58.3098,55.0227,56.09792002862124,999849022.1908127,12452906256.892881
Oct-13-2021,54.3851766951258,56.96010355129858,53.41110395454633,55.06,1256066457.690141,12140918629.684357
Oct-12-2021,55.25558615296847,55.25558615296847,51.2657,54.0959043318419,1131649863.0857143,11786029855.499428
Oct-11-2021,56.5497,59.16601722752653,54.0564480477125,55.223075177797696,916362089.1590106,12519114828.21807
Oct-10-2021,60.69627704460305,60.879729467130886,56.5345,56.6376,640880241.1111112,13104443523.961227
Oct-09-2021,60.5369,61.98680839422662,60.01094273937742,60.6999726781702,956714364.8888888,13420241916.546658
Oct-08-2021,61.49529949598826,64.79513442155543,60.1373,60.1791,1473148272.4444444,13778009970.090324
Oct-07-2021,60.06480593187031,62.02040559045612,57.64157519364737,61.4564185189595,1578070006.6341465,13197346701.74254
Oct-06-2021,64.74160522226508,65.61828748080553,58.6650310881986,60.2592176271969,1406076359.5555556,13600360064.514067
Oct-05-2021,65.3654,66.59741395167879,62.98944120929584,64.76005781382004,1407517108.8888888,14314013645.458733
Oct-04-2021,68.612,68.6563,64.28608369022975,65.1023,1542311001.3333333,14652433515.424158
Oct-03-2021,69.35859422279017,71.56485610954715,67.99227240563624,68.7235,2158277173.7777777,15385811016.581133
Oct-02-2021,67.6056109105016,73.2367,65.88292057412306,69.3389,2029730651.5555556,15099366848.737913
Oct-01-2021,66.72440013760271,69.44305072679035,63.66124588947302,67.42958578044917,1926974924.4444444,14682928924.562775
